'2021-02-21', '6.1.3', 'Bike 36:00 @ 6, 12, 18, 24, 30 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '18.2km', '0:36:00', '0:00:00', '510'
'2021-02-23', '6.1.4', '8x0:20/0:30r-2:00-10x1:00/0:15r', 'Hybrid', 'Hybrid', 'Rower', '3.6km', '0:12:40', '0:08:00', '272'
'2021-02-25', '6.2.3', 'Erg 45:00', 'Hybrid', 'Endurance', 'BikeErg', '21.9km', '0:45:00', '0:00:00', '708'
'2021-02-26', '6.2.1', 'Bike 39:00 @ 7,14,21,28,35 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '19.7km', '0:39:00', '0:00:00', '546'
'2021-02-27', '6.2.2', '10x0:45/0:15-3:00r-6x2:00/0:30r', 'Hybrid', 'Hybrid', 'Rower', '5.4km', '0:19:30', '0:11:45', '405'
'2021-02-28', '6.2.4', '??x1km/0:30r-2:00-0:03', 'Hybrid', 'Ascending', 'BikeErg', '7.8km', '0:14:36', '0:15:00', '281'
'2021-03-03', '6.2.5', '8x0:30/1:30r-2:00r-2x4:00/0:30r', 'Hybrid', 'Hybrid', 'Rower', '3.4km', '0:12:00', '0:13:30', '263'
'2021-03-05', '6.3.1', '10x0:20/0:45r-3:00r-6x1:00/0:30r', 'Hybrid', 'Hybrid', 'Rower', '2.8km', '0:09:20', '0:12:45', '227'
'2021-03-06', '6.3.5', 'Bike 45:00', 'Hybrid', 'Endurance', 'BikeErg', '21.8km', '0:45:00', '0:00:00', '698'
'2021-03-07', '6.3.2', '12x2:00/1:00r', 'Hybrid', 'Intervals', 'Rower', '6.5km', '0:24:00', '0:12:00', '467'
'2021-03-08', '6.3.3', 'Bike 36:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '18.1km', '0:36:00', '0:00:00', '500'
'2021-03-10', '6.3.4', '8x0:30/0:30r-2:00r-10x0:45/0:15r', 'Hybrid', 'Hybrid', 'Rower', '3.3km', '0:11:30', '0:08:00', '248'
'2021-03-12', '6.4.1', 'Bike 42:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Hybrid', 'Polarisation', 'AirDyne', '21.2km', '0:42:00', '0:00:00', '587'
